initial_point_key,starting_point,objective_value_20260310,cpu_time_s_20260310,termination_condition_20260310,feasible_20260310,objective_value_20260310_preprocess_on,cpu_time_s_20260310_preprocess_on,termination_condition_20260310_preprocess_on,feasible_20260310_preprocess_on
44,"(9, 5)",19346.12480109944,72.5993140283972,optimal,True,,7.054158145561814,unknown,False
45,"(12, 8)",19346.12480109944,81.8509406382218,optimal,True,,10.055976198986173,unknown,False
46,"(14, 8)",19346.12480109944,75.22632313612849,optimal,True,19346.12480109944,65.39346743747592,optimal,True
47,"(10, 1)",19853.73216380374,41.54921018797904,optimal,True,19853.73216380374,73.92822411004454,optimal,True
48,"(10, 7)",19346.12480109944,74.77573473844677,optimal,True,,7.03137494623661,unknown,False
49,"(9, 2)",19346.12480109944,70.20418730285019,optimal,True,19346.12480109944,68.67065916582942,optimal,True
50,"(9, 6)",19346.12480109944,81.67062133178115,optimal,True,,7.0478279031813145,unknown,False
51,"(11, 8)",19346.12480109944,69.20011355169117,optimal,True,,10.337484503164887,unknown,False
52,"(15, 8)",19346.12480109944,71.4058801708743,optimal,True,19346.12480109944,62.29565574228764,optimal,True
53,"(9, 1)",,3.439311674796045,optimal,False,,13.587639616802337,optimal,False
54,"(9, 7)",19346.12480109944,73.13266060966998,optimal,True,,7.0601523062214255,unknown,False
55,"(10, 8)",19346.12480109944,61.58733604289591,optimal,True,,7.138472302816808,unknown,False
56,"(13, 9)",19346.12480109944,64.19329603295773,optimal,True,,7.076235285960138,unknown,False
57,"(12, 9)",19346.12480109944,69.22629235871136,optimal,True,,7.034693326801062,unknown,False
58,"(14, 9)",19346.12480109944,75.1082562385127,optimal,True,19346.12480109944,66.80544925946742,optimal,True
59,"(11, 9)",19346.12480109944,69.97032644599676,optimal,True,,7.003381273709238,unknown,False
60,"(15, 9)",19346.12480109944,75.4588337475434,optimal,True,19346.12480109944,64.63301405031234,optimal,True
61,"(9, 8)",19346.12480109944,67.69147854018956,optimal,True,,6.998651737347245,unknown,False
62,"(10, 9)",19346.12480109944,69.10640605632216,optimal,True,,10.447342682629824,unknown,False
63,"(9, 9)",,1.6801185952499509,optimal,False,,7.060592469759285,unknown,False
