initial_point_key,starting_point,objective_value_20260311_ngcut_conopt,cpu_time_s_20260311_ngcut_conopt,termination_condition_20260311_ngcut_conopt,feasible_20260311_ngcut_conopt,objective_value_20260311_ngcut_ipopt,cpu_time_s_20260311_ngcut_ipopt,termination_condition_20260311_ngcut_ipopt,feasible_20260311_ngcut_ipopt
29,"(12, 1)",19346.12480109944,60.05267078615725,optimal,True,19346.124748130627,57.55250396672636,optimal,True
30,"(14, 1)",19449.85151196701,36.10633403155953,optimal,True,19449.851511657434,30.021551392041147,optimal,True
31,"(10, 3)",19548.719331288536,32.61217575147748,optimal,True,19548.71945484905,27.89072479400784,optimal,True
32,"(10, 5)",19346.12480109944,51.42709874548018,optimal,True,19346.124748130627,46.32249237410724,optimal,True
33,"(12, 7)",19346.12480109944,71.11799972038716,optimal,True,19346.124748130627,63.65670675132424,optimal,True
34,"(14, 7)",19853.73216380374,33.944371888414025,optimal,True,19853.732163455534,28.86555089894682,optimal,True
35,"(11, 1)",19853.73216380374,29.36977448500693,optimal,True,19853.732163455534,26.574810636229813,optimal,True
36,"(15, 1)",19346.12480109944,44.10711091384292,optimal,True,19346.124748130627,37.6161023247987,optimal,True
37,"(10, 2)",19449.85151196701,49.83417188376188,optimal,True,19449.851511657434,50.781793707981706,optimal,True
38,"(10, 6)",19346.12480109944,81.2566523309797,optimal,True,19346.124748130627,76.46201436687261,optimal,True
39,"(11, 7)",19346.12480109944,82.44426888693124,optimal,True,19346.124748130627,78.03112126793712,optimal,True
40,"(15, 7)",19346.12480109944,61.2194615341723,optimal,True,19346.124748130627,57.44576295465231,optimal,True
41,"(9, 4)",19548.719331288536,28.45470690075308,optimal,True,19548.71945484905,22.492449923418462,optimal,True
42,"(13, 8)",19346.12480109944,87.78672391269356,optimal,True,19346.124748130627,87.54562486801296,optimal,True
43,"(9, 3)",19548.719331288536,28.58157171215862,optimal,True,19548.71945484905,22.395592984743416,optimal,True
44,"(9, 5)",19346.12480109944,73.99049787130207,optimal,True,19346.124748130627,67.1882812390104,optimal,True
45,"(12, 8)",19346.12480109944,82.76184039004147,optimal,True,19346.124748130627,78.99282897636294,optimal,True
46,"(14, 8)",19346.12480109944,76.35367017239332,optimal,True,19346.124748130627,70.68719184305519,optimal,True
47,"(10, 1)",19853.73216380374,34.82910974603146,optimal,True,19853.732163455534,34.56066437065601,optimal,True
48,"(10, 7)",19346.12480109944,79.55791567545384,optimal,True,19346.124748130627,75.33802513591945,optimal,True
49,"(9, 2)",19346.12480109944,70.6874881926924,optimal,True,19346.124748130627,66.33450623229146,optimal,True
50,"(9, 6)",19346.12480109944,87.76569756027311,optimal,True,19346.124748130627,85.61772838141769,optimal,True
51,"(11, 8)",19346.12480109944,70.3075648676604,optimal,True,19346.124748130627,65.02530560735613,optimal,True
52,"(15, 8)",19346.12480109944,72.29049449879676,optimal,True,19346.124748130627,70.36603929381818,optimal,True
53,"(9, 1)",20701.29307578024,24.388329510577023,optimal,True,20701.29305276852,24.054376367479563,optimal,True
54,"(9, 7)",19346.12480109944,70.11224642582238,optimal,True,19346.124748130627,65.179891590029,optimal,True
55,"(10, 8)",19346.12480109944,63.47136555425823,optimal,True,19346.124748130627,57.75291437283158,optimal,True
56,"(13, 9)",19346.12480109944,69.67974159587175,optimal,True,19346.124748130627,63.53985570836812,optimal,True
57,"(12, 9)",19346.12480109944,75.1356116142124,optimal,True,19346.124748130627,69.6694569811225,optimal,True
58,"(14, 9)",19346.12480109944,70.01758848596364,optimal,True,19346.124748130627,68.1566619630903,optimal,True
59,"(11, 9)",19346.12480109944,75.39884757995605,optimal,True,19346.124748130627,71.58778218831867,optimal,True
60,"(15, 9)",19346.12480109944,83.66002735495567,optimal,True,19346.124748130627,80.25281442143023,optimal,True
61,"(9, 8)",19346.12480109944,63.67972644977272,optimal,True,19346.124748130627,58.18078436050564,optimal,True
62,"(10, 9)",19346.12480109944,74.94560692086816,optimal,True,19346.124748130627,69.95359441358596,optimal,True
63,"(9, 9)",19548.719331288536,54.3756479145959,optimal,True,19548.71945484905,51.58303973916918,optimal,True
