initial_point_key,starting_point,objective_value_20260310,cpu_time_s_20260310,termination_condition_20260310,feasible_20260310,objective_value_20260311_ngcut_conopt,cpu_time_s_20260311_ngcut_conopt,termination_condition_20260311_ngcut_conopt,feasible_20260311_ngcut_conopt
51,"(11, 8)",,58.43863093666732,locallyOptimal,False,,54.164296000264585,locallyOptimal,False
52,"(15, 8)",19346.12480109944,44.73847288545221,locallyOptimal,True,19346.12480109944,45.1907944669947,locallyOptimal,True
53,"(9, 1)",19346.12480109944,45.24406406003982,locallyOptimal,True,19346.12480109944,46.0736581441015,locallyOptimal,True
54,"(9, 7)",,77.94981409609318,locallyOptimal,False,,82.23629813361913,locallyOptimal,False
55,"(10, 8)",19346.12480109944,107.4495916897431,locallyOptimal,True,19346.12480109944,107.9217950478196,locallyOptimal,True
56,"(13, 9)",,90.66755293682218,locallyOptimal,False,,91.13531231787056,locallyOptimal,False
57,"(12, 9)",,62.38309394940734,locallyOptimal,False,,57.724635436199605,locallyOptimal,False
58,"(14, 9)",,68.72350207716227,locallyOptimal,False,,69.00496551953256,locallyOptimal,False
59,"(11, 9)",,85.36735784541816,locallyOptimal,False,,84.86125611606985,locallyOptimal,False
60,"(15, 9)",,101.31170930434018,locallyOptimal,False,,97.10650898143648,locallyOptimal,False
61,"(9, 8)",,49.10018180496991,locallyOptimal,False,,48.676280219107866,locallyOptimal,False
62,"(10, 9)",,52.231688506901264,locallyOptimal,False,,51.90786567050964,locallyOptimal,False
63,"(9, 9)",,79.35928424354643,locallyOptimal,False,,75.18975894711912,locallyOptimal,False
