initial_point_key,starting_point,objective_value_20260311_ipopt_preprocess_off,cpu_time_s_20260311_ipopt_preprocess_off,termination_condition_20260311_ipopt_preprocess_off,feasible_20260311_ipopt_preprocess_off,objective_value_20260311_ngcut_ipopt,cpu_time_s_20260311_ngcut_ipopt,termination_condition_20260311_ngcut_ipopt,feasible_20260311_ngcut_ipopt
42,"(13, 8)",19346.124748130627,103.2299374891445,optimal,True,19346.124748130627,87.54562486801296,optimal,True
43,"(9, 3)",19548.71945484905,27.698363774456084,optimal,True,19548.71945484905,22.395592984743416,optimal,True
44,"(9, 5)",19346.124748130627,91.1295069437474,optimal,True,19346.124748130627,67.1882812390104,optimal,True
45,"(12, 8)",19346.124748130627,78.48150212317705,optimal,True,19346.124748130627,78.99282897636294,optimal,True
46,"(14, 8)",19346.124748130627,71.86323732417077,optimal,True,19346.124748130627,70.68719184305519,optimal,True
47,"(10, 1)",19853.732163455534,40.740370376966894,optimal,True,19853.732163455534,34.56066437065601,optimal,True
48,"(10, 7)",19346.124748130627,74.08695734385401,optimal,True,19346.124748130627,75.33802513591945,optimal,True
49,"(9, 2)",19346.124748130627,68.96369801461697,optimal,True,19346.124748130627,66.33450623229146,optimal,True
50,"(9, 6)",19346.124748130627,84.85776026174426,optimal,True,19346.124748130627,85.61772838141769,optimal,True
51,"(11, 8)",19346.124748130627,65.79705806542188,optimal,True,19346.124748130627,65.02530560735613,optimal,True
52,"(15, 8)",19346.124748130627,70.86381254531443,optimal,True,19346.124748130627,70.36603929381818,optimal,True
53,"(9, 1)",,4.257377514615655,optimal,False,20701.29305276852,24.054376367479563,optimal,True
54,"(9, 7)",19346.124748130627,68.5324333878234,optimal,True,19346.124748130627,65.179891590029,optimal,True
55,"(10, 8)",19346.124748130627,58.13596305157989,optimal,True,19346.124748130627,57.75291437283158,optimal,True
56,"(13, 9)",19346.124748130627,58.62884938158095,optimal,True,19346.124748130627,63.53985570836812,optimal,True
57,"(12, 9)",19346.124748130627,63.94064318109304,optimal,True,19346.124748130627,69.6694569811225,optimal,True
58,"(14, 9)",19346.124748130627,73.30124730058014,optimal,True,19346.124748130627,68.1566619630903,optimal,True
59,"(11, 9)",19346.124748130627,66.53860748466104,optimal,True,19346.124748130627,71.58778218831867,optimal,True
60,"(15, 9)",19346.124748130627,81.10432646051049,optimal,True,19346.124748130627,80.25281442143023,optimal,True
61,"(9, 8)",19346.124748130627,63.22696808446199,optimal,True,19346.124748130627,58.18078436050564,optimal,True
62,"(10, 9)",19346.124748130627,64.32950296159834,optimal,True,19346.124748130627,69.95359441358596,optimal,True
63,"(9, 9)",,1.683590949513018,optimal,False,19548.71945484905,51.58303973916918,optimal,True
